ID,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,,,
Sq.104.FS21,1.505555556,1.270967742,0.973015873,1.111538462,1.55,1.42826087,1.296296296,1.77027027,1.104761905,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Sequim,104,FS21,,,
Sq.0.CO407Dave,1.488888889,1.258064516,0.971428571,1.088461538,1.561538462,1.413043478,1.303703704,1.554054054,1.092857143,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.806285714,Sequim,0,CO407Dave,,,
Sq.102.FS24,1.511111111,1.277419355,0.982539683,1.126923077,1.523076923,1.434782609,1.314814815,1.675675676,1.14047619,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.815507937,Sequim,102,FS24,,,
Sq.108.FS26,1.505555556,1.312903226,0.996825397,1.125,1.534615385,1.456521739,1.318518519,1.837837838,1.15,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.827365079,Sequim,108,FS26,,,
Sq.104.FS27,1.461111111,1.241935484,0.958730159,1.094230769,1.584615385,1.42826087,1.266666667,1.297297297,1.126190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.795746032,Sequim,104,FS27,,,
Sq.104.FS28,1.438888889,1.212903226,0.968253968,1.094230769,1.607692308,1.436956522,1.333333333,1.689189189,1.076190476,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.803650794,Sequim,104,FS28,,,
Sq.0.Cherry Vanilla,1.405555556,1.238709677,0.957142857,1.075,1.511538462,1.404347826,1.262962963,1.540540541,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.794428571,Sequim,0,Cherry Vanilla,,,
Sq.102.FS36,1.511111111,1.290322581,0.99047619,1.092307692,1.476923077,1.423913043,1.303703704,1.621621622,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.822095238,Sequim,102,FS36,,,
Sq.106.FS37,1.494444444,1.316129032,0.977777778,1.034615385,1.503846154,1.358695652,1.285185185,1.405405405,1.135714286,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.811555556,Sequim,106,FS37,,,
Sq.108.FS42,1.544444444,1.361290323,1.017460317,1.086538462,1.588461538,1.430434783,1.344444444,1.486486486,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.844492063,Sequim,108,FS42,,,
Sq.104.FS45,1.394444444,1.241935484,0.944444444,1.078846154,1.546153846,1.365217391,1.27037037,1.581081081,1.097619048,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.783888889,Sequim,104,FS45,,,
Sq.106.FS49,1.577777778,1.348387097,0.995238095,1.019230769,1.492307692,1.380434783,1.244444444,1.418918919,1.121428571,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.826047619,Sequim,106,FS49,,,
Sq.102.FS52,1.35,1.187096774,0.903174603,0.998076923,1.384615385,1.32826087,1.177777778,1.581081081,1.035714286,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.749634921,Sequim,102,FS52,,,
Sq.108.FS54,1.472222222,1.25483871,0.973015873,1.1,1.530769231,1.423913043,1.288888889,1.22972973,1.123809524,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Sequim,108,FS54,,,
