"ID","His_Score","Ile_Score","Leu_Score","Lys_Score","SAA_Score","AAA_Score","Thr_Score","Trp_Score","Val_Score","His_Lim","Ile_Lim","Leu_Lim","Lys_Lim","SAA_Lim","AAA_Lim","Thr_Lim","Trp_Lim","Val_Lim","Limiting_AA","Limiting_AA_Score","PDCAAS"
"Chim.104.FS20",1.29,1.2125,0.898484848484848,0.907017543859649,1.38571428571429,1.22692307692308,1.07741935483871,1.34117647058824,1.07906976744186,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.745742424242424
"Chim.108.FS39",1.22,1.16875,0.886363636363636,0.898245614035088,1.42142857142857,1.18653846153846,1.0741935483871,1.14117647058824,1.03953488372093,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.735681818181818
"Chim.102.FS76",1.225,1.109375,0.86969696969697,0.919298245614035,1.29642857142857,1.18653846153846,1.09032258064516,1.38823529411765,1.00232558139535,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.721848484848485
"MV.110.Baer.ni",1.295,1.25625,0.943939393939394,0.991228070175439,1.50357142857143,1.30769230769231,1.1741935483871,1.23529411764706,1.13720930232558,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.783469696969697
"MV.110.QQ74.i",1.26,1.24375,0.940909090909091,1.02280701754386,1.42142857142857,1.26923076923077,1.15806451612903,1.14117647058824,1.12790697674419,".",".","LIMITING",".",".",".",".",".",".","Leu_Score",4,0.780954545454545
"MV.110.Japanese Strain.ni",1.35,1.265625,0.940909090909091,0.931578947368421,1.47857142857143,1.33269230769231,1.16129032258065,1.05882352941176,1.13023255813953,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.773210526315789
"MV.110.Japanese Strain.i",1.33,1.234375,0.924242424242424,0.935087719298246,1.35,1.30576923076923,1.13548387096774,1.21176470588235,1.1,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.767121212121212
"MV.110.3UISE",1.265,1.253125,0.924242424242424,0.887719298245614,1.24642857142857,1.25769230769231,1.06774193548387,1.02352941176471,1.11627906976744,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.736807017543859
"MV.110.3UISE.i",1.22,1.225,0.922727272727273,0.885964912280702,1.30714285714286,1.23846153846154,1.12258064516129,1.22352941176471,1.13255813953488,".",".","LIMITING","LIMITING",".",".",".",".",".","Lys_Score",5,0.735350877192982
"MV.110.17GR.i",1.275,1.21875,0.904545454545455,0.949122807017544,1.39285714285714,1.25576923076923,1.10322580645161,1.22352941176471,1.09302325581395,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.750772727272727
"MV.110.QQ74.ni",1.145,1.153125,0.875757575757576,0.926315789473684,1.38571428571429,1.16923076923077,1.09354838709677,1.29411764705882,1.04186046511628,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.726878787878788
"MV.110.17GR",1.225,1.121875,0.853030303030303,0.887719298245614,1.34285714285714,1.19230769230769,1.05483870967742,1.15294117647059,1.02558139534884,".",".","LIMITING","LIMITING",".",".",".",".",".","Leu_Score",4,0.708015151515151
