ID,newLocation,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,
Quil.102.FS40,Quilcene,1.25,1.184375,0.912121212,1.012280702,1.353571429,1.240384615,1.109677419,1.117647059,1.060465116,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.757060606,Quilcene,102,FS40,
Quil.102.FS5,Quilcene,1.305,1.225,0.939393939,1.045614035,1.457142857,1.271153846,1.183870968,0.964705882,1.1,.,.,LIMITING,.,.,.,.,LIMITING,.,Leu_Score,4,0.77969697,Quilcene,102,FS5,
Quil.106.FS49,Quilcene,1.4,1.3,0.978787879,0.998245614,1.396428571,1.307692308,1.151612903,0.8,1.125581395,.,.,LIMITING,LIMITING,.,.,.,LIMITING,.,Trp_Score,9,0.664,Quilcene,106,FS49,
Quil.107.FS50,Quilcene,1.335,1.2375,0.937878788,0.950877193,1.35,1.255769231,1.109677419,1.211764706,1.079069767,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.778439394,Quilcene,107,FS50,
Quil.108.FS51,Quilcene,1.29,1.2375,0.948484848,1.050877193,1.514285714,1.257692308,1.187096774,1.411764706,1.113953488,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.787242424,Quilcene,108,FS51,
Quil.104.FS53,Quilcene,1.265,1.2,0.886363636,0.980701754,1.371428571,1.209615385,1.1,1.341176471,1.034883721,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.735681818,Quilcene,104,FS53,
Quil.108.FS56,Quilcene,1.245,1.14375,0.893939394,0.977192982,1.425,1.215384615,1.1,1.176470588,1.044186047,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.741969697,Quilcene,108,FS56,
Quil.107.FS7,Quilcene,1.245,1.18125,0.918181818,0.994736842,1.385714286,1.242307692,1.122580645,1.4,1.086046512,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.762090909,Quilcene,107,FS7,
Quil.104.FS59,Quilcene,1.305,1.221875,0.934848485,1.036842105,1.396428571,1.236538462,1.177419355,1.223529412,1.090697674,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.775924242,Quilcene,104,FS59,
Quil.107.FS65,Quilcene,1.315,1.234375,0.943939394,1,1.410714286,1.265384615,1.161290323,1.129411765,1.102325581,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.783469697,Quilcene,107,FS65,
Quil.108.FS66,Quilcene,1.315,1.234375,0.943939394,1.047368421,1.475,1.265384615,1.161290323,1.341176471,1.102325581,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.783469697,Quilcene,108,FS66,
Quil.108.FS70,Quilcene,1.27,1.20625,0.928787879,1.029824561,1.471428571,1.280769231,1.158064516,1.235294118,1.1,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.770893939,Quilcene,108,FS70,
Quil.107.FS72,Quilcene,1.345,1.3,0.989393939,1.045614035,1.428571429,1.35,1.212903226,1.247058824,1.158139535,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.82119697,Quilcene,107,FS72,
Quil.104.FS73,Quilcene,1.26,1.196875,0.906060606,1,1.403571429,1.223076923,1.14516129,1.094117647,1.065116279,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.752030303,Quilcene,104,FS73,
Quil.102.FS9,Quilcene,1.32,1.26875,0.972727273,1.075438596,1.45,1.305769231,1.216129032,1.329411765,1.141860465,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807363636,Quilcene,102,FS9,
Quil.104.FS75,Quilcene,1.33,1.221875,0.928787879,0.98245614,1.428571429,1.263461538,1.116129032,1.352941176,1.074418605,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.770893939,Quilcene,104,FS75,
Quil.102.FS76,Quilcene,1.265,1.2125,0.93030303,1.029824561,1.385714286,1.267307692,1.164516129,1.270588235,1.090697674,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.772151515,Quilcene,102,FS76,
Quil.104.FS77,Quilcene,1.35,1.278125,0.971212121,1.092982456,1.528571429,1.303846154,1.229032258,1.529411765,1.123255814,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.806106061,Quilcene,104,FS77,
Sq.108.FS86,Sequim,1.365,1.253125,0.956060606,1.01754386,1.432142857,1.294230769,1.183870968,1.4,1.130232558,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.793530303,Sequim,108,FS86,
Sq.104.FS88,Sequim,1.265,1.196875,0.910606061,0.977192982,1.367857143,1.223076923,1.096774194,1.435294118,1.053488372,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.75580303,Sequim,104,FS88,
Sq.105.FS92,Sequim,1.395,1.296875,0.974242424,0.978947368,1.510714286,1.317307692,1.174193548,1.2,1.141860465,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.808621212,Sequim,105,FS92,
Sq.108.FS11,Sequim,1.25,1.1875,0.906060606,0.977192982,1.414285714,1.226923077,1.093548387,1.329411765,1.069767442,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.752030303,Sequim,108,FS11,
